,Returns,Risk,Sharpe Ratio,Ccola,Pepsi,Monster,Carlsberg
190,0.11473894184331973,0.17122837180102252,0.5532899766950536,0.15,0.39,0.33,0.12
191,0.1381986674028139,0.18509397780674636,0.6385873209025915,0.42,0.06,0.09,0.43
192,0.10897378081232309,0.1695607775185533,0.5247309083764232,0.1,0.53,0.35,0.02
193,0.1410706640087885,0.18198964991154282,0.6652612611081764,0.38,0.04,0.01,0.57
194,0.12142349789970192,0.171116160903719,0.5927172358475791,0.05,0.45,0.34,0.15
195,0.1652405655482009,0.20400004230108876,0.7119634089773214,0.37,0.14,0.15,0.35
196,0.10908630887880405,0.1645870062772032,0.5412718226903147,0.04,0.29,0.5,0.17
197,0.1512432752060222,0.18324780766894125,0.7162065231532192,0.32,0.38,0.12,0.17
198,0.14081353972031363,0.18417662294428783,0.6559656583390547,0.05,0.21,0.34,0.4
199,0.1255284199201144,0.1662319825628231,0.6348262127008721,0.25,0.31,0.36,0.08
200,0.1214536294486317,0.16806608296132744,0.603653203912514,0.2,0.28,0.18,0.34
201,0.1540002511159253,0.194183048207529,0.6900718283746139,0.32,0.22,0.17,0.29
202,0.1305645847721164,0.17593655178443515,0.6284344194012895,0.05,0.38,0.44,0.12
203,0.11387374298784403,0.17357328041815542,0.5408306091910735,0.29,0.31,0.29,0.1
204,0.16032218734594553,0.19189642554798922,0.7312391929408499,0.45,0.02,0.08,0.45
205,0.10419184344686336,0.16171471982852112,0.5206195424642767,0.17,0.04,0.43,0.35
206,0.12404029601319531,0.17145408374778176,0.6068114199382046,0.24,0.39,0.03,0.34
207,0.09634974012636258,0.16854999181473704,0.4529797913623333,0.35,0.22,0.22,0.2
208,0.12330220382030972,0.1784525590483776,0.5788776825122749,0.42,0.41,0.05,0.11
209,0.12337195834833493,0.16645019164295494,0.6210383858858728,0.39,0.31,0.25,0.05
210,0.10173616694987453,0.1904125719318139,0.429258247607432,0.28,0.16,0.15,0.41
211,0.12302208638780499,0.1778983305262224,0.5791065384541055,0.64,0.15,0.09,0.12
212,0.17096404552009986,0.212179986396181,0.7114905042845128,0.06,0.68,0.24,0.02
213,0.1098492794426485,0.1676086735375389,0.53606581059497,0.11,0.22,0.56,0.11
214,0.15109552301937323,0.18252926053853458,0.7182164801007183,0.02,0.47,0.02,0.49
215,0.09735239139363755,0.2057694293680353,0.37591780096394456,0.01,0.15,0.3,0.54
216,0.1450023852872237,0.17784473253640604,0.7028737005839342,0.76,0.12,0.1,0.01
217,0.14992434859842768,0.18407452194345356,0.7058247237406357,0.13,0.2,0.31,0.36
218,0.1173650795363134,0.1647633301354817,0.5909390120741792,0.09,0.26,0.35,0.31
219,0.13658590989623848,0.17256912031642496,0.6755896401538413,0.19,0.15,0.05,0.61
220,0.13940849920221068,0.17532368099002413,0.6810745617929673,0.25,0.09,0.24,0.42
221,0.1522571918487911,0.18491834214408728,0.7152194331578914,0.01,0.27,0.23,0.49
222,0.12643791934299226,0.17108064985386554,0.6221505438160885,0.01,0.23,0.34,0.42
223,0.132093019965147,0.17547032253944803,0.638814691526808,0.28,0.3,0.23,0.19
224,0.14203092634329295,0.18343726739914537,0.6652460978813157,0.32,0.19,0.25,0.25
225,0.18631891984832433,0.2270445344728379,0.7325387516351847,0.18,0.36,0.36,0.1
226,0.13548311482503717,0.18448711722592434,0.6259684500550553,0.05,0.1,0.64,0.21
227,0.1108029275822631,0.17587544523529933,0.5162911028357605,0.36,0.24,0.33,0.07
228,0.13303209491394716,0.17796346566128785,0.6351421315264646,0.01,0.79,0.14,0.06
229,0.130063532771949,0.16873047503575267,0.6523038161815604,0.31,0.26,0.28,0.16
230,0.1575349280364473,0.18795887934224387,0.7317288149288101,0.21,0.18,0.18,0.44
231,0.12244498893271011,0.1693820092514071,0.6048162339404949,0.02,0.11,0.34,0.54
232,0.14642545182108108,0.19113477195592068,0.6614466354151258,0.35,0.13,0.16,0.36
233,0.14045267967791794,0.18019552610403852,0.6684554399445679,0.26,0.28,0.42,0.03
234,0.15893543741161426,0.19420900103932273,0.7153913395779381,0.12,0.39,0.33,0.16
235,0.17696735878982955,0.2146443647176426,0.7312903788381065,0.22,0.08,0.44,0.26
236,0.13795613587181021,0.18455973332657336,0.639121729023579,0.11,0.08,0.58,0.22
237,0.10618252681623944,0.1633157647176434,0.5277048848605669,0.3,0.3,0.35,0.05
238,0.12134260343914557,0.17136094138021826,0.5913984985311505,0.23,0.41,0.04,0.33
239,0.13187965438242888,0.1947791845048751,0.5743922517533112,0.37,0.17,0.16,0.31
240,0.10041008969103953,0.17475230295908495,0.46013751080502824,0.52,0.12,0.32,0.04
241,0.11687172880509915,0.16941668201813606,0.571795691257423,0.5,0.24,0.05,0.21
242,0.12188493232606863,0.19116841626908765,0.5329590228056079,0.26,0.47,0.19,0.08
243,0.13094482644189073,0.17396910368912807,0.6377271830988002,0.58,0.04,0.22,0.16
244,0.14475459517295436,0.1909409396315315,0.6533674518083952,0.17,0.42,0.27,0.14
245,0.13947949806025936,0.17379891513089898,0.687458250071767,0.05,0.53,0.38,0.05
246,0.12407633388334212,0.16503658721362807,0.6306258244944362,0.18,0.2,0.29,0.32
247,0.11961522940884062,0.17828284789029913,0.5587482508139863,0.2,0.18,0.13,0.49
248,0.17835767426645271,0.22691381218313247,0.6978758707673951,0.41,0.33,0.23,0.03
249,0.14806753253190222,0.19538639682996634,0.6554577729551567,0.15,0.19,0.65,0.0
250,0.13950658636188587,0.17991099838638772,0.6642539224046009,0.38,0.1,0.41,0.11
251,0.10663790847601848,0.16904077487865335,0.5125266879438518,0.15,0.38,0.33,0.14
252,0.10648232417215883,0.19089283653013014,0.45304122325464335,0.41,0.29,0.09,0.21
253,0.12175449828150128,0.16456348492396,0.6183297487198881,0.64,0.05,0.1,0.21
254,0.12396817970383703,0.1789346849597427,0.5810398343240614,0.19,0.31,0.15,0.35
255,0.12249520998269131,0.16544475270759892,0.6195132109377783,0.03,0.69,0.24,0.04
256,0.1441589298404597,0.1840455804293431,0.6746096784873653,0.29,0.11,0.14,0.45
257,0.1425579741657288,0.1782453289009298,0.6875802856738394,0.34,0.03,0.33,0.3
258,0.14072412483553057,0.17806356734663142,0.6779832990794813,0.15,0.27,0.32,0.26
259,0.13762403760535807,0.18155535512021376,0.6478687314261556,0.28,0.11,0.3,0.31
260,0.15582489855592657,0.20837150595919918,0.6518400773209471,0.33,0.19,0.32,0.16
261,0.1412118074058424,0.1823072019384693,0.6648766813214144,0.4,0.09,0.49,0.02
262,0.12854224823015892,0.17804049287049645,0.6096492235005811,0.02,0.46,0.32,0.2
263,0.12899844363991675,0.17803272757778377,0.6122382391310303,0.36,0.26,0.27,0.11
264,0.1336637064016447,0.17933486828080425,0.633807064355544,0.29,0.38,0.3,0.02
265,0.13090424326744582,0.17987876463830652,0.6165499495754705,0.29,0.31,0.32,0.07
266,0.1285733453797329,0.16982640528336698,0.6393195757666237,0.35,0.27,0.28,0.11
267,0.1539108362311422,0.18544082482023427,0.7221216598931489,0.26,0.26,0.24,0.23
268,0.15575941060282023,0.19510450472074237,0.6958291957283911,0.08,0.18,0.38,0.35
269,0.15642154905572228,0.18769983855882275,0.726806960001564,0.15,0.27,0.46,0.11
270,0.13173821268933894,0.17210541127378431,0.649242878898133,0.06,0.17,0.38,0.39
271,0.11107533834051991,0.16303189911281088,0.5586350820675885,0.22,0.29,0.24,0.26
272,0.11834748945187153,0.16890739354607173,0.5822568650616584,0.12,0.43,0.06,0.39
273,0.11514270627242873,0.1656936619642175,0.5742084829592053,0.34,0.28,0.17,0.21
274,0.14153800475637227,0.17620842436131143,0.6897400348303513,0.18,0.2,0.03,0.6
275,0.15865188672082625,0.1954952300253918,0.709234116365998,0.16,0.23,0.3,0.31
276,0.1289954199592703,0.17087878793237593,0.6378522535073485,0.0,0.32,0.43,0.25
