Date,Volume,Volume,Volume,Volume
2019-08-22,131697.0,732.0,7754,21428840.0
2019-08-23,335234.0,5886.0,2710,46532583.0
2019-08-26,180760.0,4390.0,9663,26761945.0
2019-08-27,238874.0,5725.0,18436,15979400.0
2019-08-28,161940.0,20765.0,18235,30145888.0
2019-08-29,234782.0,34825.0,18676,13097219.0
2019-08-30,338493.0,11594.0,6102,7282339.0
2019-09-02,962916.0,3750.0,3744,8864284.0
2019-09-03,270050.0,3303.0,13176,9860566.0
2019-09-04,434163.0,8778.0,7068,10115043.0
2019-09-05,378659.0,988.0,27497,8371308.0
2019-09-06,247737.0,1385.0,8364,9415900.0
2019-09-09,137141.0,4078.0,7797,16547971.0
2019-09-10,265794.0,22834.0,18747,14379954.0
2019-09-11,212160.0,6091.0,26144,6635454.0
2019-09-12,309612.0,13534.0,8882,9691071.0
2019-09-13,286260.0,3078.0,11642,8340990.0
2019-09-16,500479.0,4985.0,17541,9318496.0
2019-09-17,428814.0,14795.0,23606,7347124.0
2019-09-18,372911.0,29041.0,23269,8332278.0
2019-09-19,262013.0,2773.0,9699,7612204.0
2019-09-20,210188.0,4014.0,7890,5666573.0
2019-09-23,388331.0,9253.0,46784,27008087.0
2019-09-24,117421.0,10005.0,22313,8589350.0
2019-09-25,264472.0,2345.0,4987,13241487.0
2019-09-26,122755.0,2874.0,47233,6378699.0
2019-09-27,190362.0,3426.0,11950,5117357.0
2019-09-30,506486.0,15606.0,70986,5656771.0
2019-10-01,274046.0,3422.0,6646,8956599.0
2019-10-02,334760.0,10884.0,32833,6074502.0
2019-10-03,,10474.0,10612,2931050.0
2019-10-04,646774.0,4579.0,20639,4531650.0
2019-10-07,271122.0,3519.0,63867,6345214.0
2019-10-08,181659.0,1670.0,20724,3173002.0
2019-10-09,152591.0,955.0,26950,2615328.0
2019-10-10,192237.0,1755.0,43859,4879701.0
2019-10-11,212212.0,7570.0,54614,14861897.0
2019-10-14,126922.0,7287.0,63641,17349907.0
2019-10-15,176659.0,4175.0,22591,11903742.0
2019-10-16,258479.0,703.0,22329,4597453.0
2019-10-17,275702.0,1286.0,31649,4846913.0
2019-10-18,214527.0,1133.0,22131,5646416.0
2019-10-21,270326.0,12748.0,16865,6199289.0
2019-10-22,189109.0,2638.0,8546,4319849.0
2019-10-23,924745.0,3898.0,12659,4980203.0
2019-10-24,333472.0,9489.0,12051,6049804.0
2019-10-25,249051.0,2064.0,16369,2988309.0
2019-10-28,402165.0,1892.0,30247,3704639.0
2019-10-29,202044.0,7647.0,6729,3508743.0
2019-10-30,202994.0,10699.0,9008,3141141.0
2019-10-31,370961.0,1899.0,2305,3675849.0
2019-11-01,160080.0,5784.0,11072,2271429.0
2019-11-04,285651.0,6840.0,8831,3313258.0
2019-11-05,230433.0,6630.0,8134,3005145.0
2019-11-06,373686.0,13472.0,10763,2371516.0
2019-11-07,197386.0,16413.0,5257,5421382.0
2019-11-08,180281.0,30063.0,7678,3487039.0
2019-11-11,411018.0,13057.0,4768,2755553.0
2019-11-12,220996.0,12896.0,8754,3679287.0
2019-11-13,166741.0,27059.0,17719,2391781.0
2019-11-14,317123.0,7975.0,9701,3658170.0
2019-11-15,196727.0,2523.0,17356,3941016.0
2019-11-18,219036.0,33224.0,24273,7461028.0
2019-11-19,139135.0,2625.0,17040,8127407.0
2019-11-20,204198.0,4303.0,17366,8041149.0
2019-11-21,217537.0,4887.0,22021,4616848.0
2019-11-22,189204.0,10274.0,15696,4876016.0
2019-11-25,201157.0,96389.0,26147,2692133.0
2019-11-26,372890.0,60191.0,12371,9649354.0
2019-11-27,393047.0,16941.0,28920,19537986.0
2019-11-28,384711.0,24273.0,7460,9567237.0
2019-11-29,224030.0,2793.0,32697,9478181.0
2019-12-02,323664.0,4830.0,23434,12578263.0
2019-12-03,212158.0,12813.0,72512,4547976.0
2019-12-04,306528.0,2700.0,10702,7814716.0
2019-12-05,216156.0,5325.0,8865,8164787.0
2019-12-06,258971.0,14869.0,10273,6090668.0
2019-12-09,453114.0,24990.0,50435,5260355.0
2019-12-10,704336.0,25139.0,25316,7656968.0
2019-12-11,861041.0,85749.0,28617,9000962.0
2019-12-12,291525.0,28572.0,10353,22706709.0
2019-12-13,287142.0,17210.0,6678,14641378.0
2019-12-16,197757.0,8477.0,91990,10482623.0
2019-12-17,225972.0,10037.0,27622,5179505.0
2019-12-18,205979.0,2399.0,27547,6594956.0
2019-12-19,96870.0,5318.0,27854,4624822.0
2019-12-20,160446.0,1833.0,35880,10708619.0
2019-12-23,369819.0,12159.0,8457,10790937.0
2019-12-24,,1019.0,10818,
2019-12-25,,,0,
2019-12-27,174059.0,2961.0,21282,7864327.0
2019-12-30,233273.0,6890.0,16984,5770282.0
2019-12-31,,1565.0,3446,
2020-01-02,154824.0,2972.0,12877,5828631.0
2020-01-03,168545.0,1541.0,5504,4328139.0
2020-01-06,219104.0,2910.0,5296,5451054.0
2020-01-07,116007.0,9263.0,5186,6128944.0
2020-01-08,136057.0,6211.0,11217,5118240.0
2020-01-09,169128.0,19184.0,6883,3876550.0
2020-01-10,200625.0,6158.0,4770,4740734.0
2020-01-13,320489.0,10013.0,16344,6545050.0
2020-01-14,278101.0,5738.0,9380,3464760.0
2020-01-15,241208.0,3164.0,7013,5790538.0
2020-01-16,159195.0,3023.0,13671,7724730.0
2020-01-17,187807.0,8980.0,4917,4418157.0
2020-01-20,593609.0,5410.0,9154,4813295.0
2020-01-21,169008.0,5317.0,9578,6416784.0
2020-01-22,216838.0,3078.0,9012,5073304.0
2020-01-23,220932.0,1036.0,4669,13703197.0
2020-01-24,306561.0,884.0,17759,4282775.0
2020-01-27,394501.0,6366.0,10435,20117112.0
2020-01-28,517533.0,2545.0,11685,6361415.0
2020-01-29,345479.0,2704.0,17887,6000777.0
2020-01-30,320705.0,9660.0,23040,5632387.0
2020-01-31,182089.0,1004.0,7236,7425826.0
2020-02-03,353969.0,2742.0,8060,3937248.0
2020-02-04,305814.0,4006.0,17005,4313497.0
2020-02-05,530716.0,5316.0,36073,5009116.0
2020-02-06,256255.0,1724.0,19553,4874569.0
2020-02-07,176880.0,2598.0,14309,4028446.0
2020-02-10,438083.0,1161.0,11880,3754396.0
2020-02-11,449250.0,3001.0,14871,4844459.0
2020-02-12,511146.0,2989.0,75879,11874202.0
